semana_año,producto_idx,tienda_idx,demanda_real,demanda_estimacion_modelo
1,0,0,2438.0,2307.72
1,0,1,1356.33,1300.81
1,1,0,3191.33,3150.87
1,1,1,2874.0,3312.51
1,2,0,640.67,672.15
1,2,1,1959.0,1940.92
1,3,0,915.0,867.85
1,3,1,277.33,286.35
1,4,0,2748.33,2612.61
1,4,1,2063.67,2093.57
1,5,0,2121.33,2257.37
1,5,1,267.0,261.25
1,6,0,947.0,891.25
1,6,1,3218.67,3147.69
1,7,0,781.67,854.27
1,7,1,3272.0,3317.17
1,8,0,3511.0,4581.96
1,8,1,1123.33,1304.47
1,9,0,2894.33,2883.37
1,9,1,4732.67,4550.2
2,0,0,959.67,926.75
2,0,1,996.67,1060.62
2,1,0,2941.33,2829.17
2,1,1,3507.33,3517.27
2,2,0,4593.67,4743.43
2,2,1,1169.0,1166.47
2,3,0,494.0,551.33
2,3,1,535.33,546.57
2,4,0,9829.0,8127.22
2,4,1,6067.0,5740.97
2,5,0,781.0,795.7
2,5,1,1978.67,2052.22
2,6,0,1050.33,1089.37
2,6,1,11014.33,10826.36
2,7,0,1188.0,1187.07
2,7,1,500.67,535.4
2,8,0,1660.33,1589.03
2,8,1,862.0,1023.81
2,9,0,3818.67,3900.45
2,9,1,5555.67,5572.71
3,0,0,1391.0,1535.97
3,0,1,729.33,732.75
3,1,0,3153.67,2904.48
3,1,1,4166.33,4090.69
3,2,0,2960.33,3013.16
3,2,1,1255.33,1319.82
3,3,0,2717.67,2993.57
3,3,1,479.67,419.68
3,4,0,6064.33,6118.06
3,4,1,3045.67,3089.1
3,5,0,1577.67,1649.18
3,5,1,2018.0,1938.36
3,6,0,8193.0,8239.72
3,6,1,745.67,726.89
3,7,0,1366.33,1377.32
3,7,1,2622.67,2802.98
3,8,0,3730.0,3776.43
3,8,1,1885.0,1922.82
3,9,0,4181.0,4224.49
3,9,1,6042.33,6094.44
4,0,0,1855.0,1830.25
4,0,1,3569.0,3673.41
4,1,0,5865.0,5590.77
4,1,1,2848.0,2957.21
4,2,0,4897.67,4261.68
4,2,1,1297.0,1278.97
4,3,0,284.67,313.73
4,3,1,286.67,285.39
4,4,0,3044.67,3794.48
4,4,1,2370.0,2486.07
4,5,0,525.67,516.82
4,5,1,1636.33,1593.88
4,6,0,1363.33,1377.25
4,6,1,939.33,950.57
4,7,0,1122.0,1116.01
4,7,1,592.0,596.08
4,8,0,2332.33,2218.72
4,8,1,1263.0,1279.29
4,9,0,4963.33,4780.48
4,9,1,6053.67,6211.83
